Key,english
resourceWpnBladeT3MachetePartsBundleKyDesc,This is a compact stack of Machete Parts. Use this item to open and unpack it.
resourceWpnClubT3SteelClubPartsBundleKyDesc,This is a compact stack of Steel Club Parts. Use this item to open and unpack it.
resourceWpnKnucklesT3SteelKnucklesPartsBundleKyDesc,This is a compact stack of Steel Knuckles Parts. Use this item to open and unpack it.
resourceWpnSledgeT3SteelSledgehammerPartsBundleKyDesc,This is a compact stack of Steel Sledgehammer Parts. Use this item to open and unpack it.
resourceWpnSpearT3SteelSpearPartsBundleKyDesc,This is a compact stack of Steel Spear Parts. Use this item to open and unpack it.
resourceoldCashBundleKyDesc,This is a compact stack of Old Cash. Use this item to open and unpack it.
resourceAloe1BundleKyDesc,This is a compact stack of Aloe Vera Seeds. Use this item to open and unpack it.
resourceBlueberry1BundleKyDesc,This is a compact stack of Blueberry Seeds. Use this item to open and unpack it.
resourceChrysanthemum1BundleKyDesc,This is a compact stack of Chrysanthemum Seeds. Use this item to open and unpack it.
resourceCoffee1BundleKyDesc,This is a compact stack of Coffee Seeds. Use this item to open and unpack it.
resourceCorn1BundleKyDesc,This is a compact stack of Corn Seeds. Use this item to open and unpack it.
resourceCotton1BundleKyDesc,This is a compact stack of Cotton Seeds. Use this item to open and unpack it.
resourceGoldenrod1BundleKyDesc,This is a compact stack of Goldenrod Seeds. Use this item to open and unpack it.
resourceGraceCorn1BundleKyDesc,This is a compact stack of Super Corn Seeds. Use this item to open and unpack it.
resourceHop1BundleKyDesc,This is a compact stack of Hop Seeds. Use this item to open and unpack it.
resourceMushroom1BundleKyDesc,This is a compact stack of Mushroom Spores. Use this item to open and unpack it.
resourcePotato1BundleKyDesc,This is a compact stack of Potato Seeds. Use this item to open and unpack it.
resourcePumpkin1BundleKyDesc,This is a compact stack of Pumpkin Seeds. Use this item to open and unpack it.
resourcetreeGrassSeed1BundleKyDesc,This is a compact stack of Grass Seeds. Use this item to open and unpack it.
resourceYucca1BundleKyDesc,This is a compact stack of Yucca Seeds. Use this item to open and unpack it.
resourceAcidBundleKyDesc,This is a compact stack of Bottles of Acid. Use this item to open and unpack it.
resourceAnimalFatBundleKyDesc,This is a compact stack of Animal Fat. Use this item to open and unpack it.
resourceArmorCraftingKitBundleKyDesc,This is a compact stack of Armor Crafting Kits. Use this item to open and unpack it.
resourceArrowHeadIronBundleKyDesc,This is a compact stack of Iron Arrowheads. Use this item to open and unpack it.
resourceArrowHeadSteelAPBundleKyDesc,This is a compact stack of Steel Arrowheads. Use this item to open and unpack it.
resourceBoneBundleKyDesc,This is a compact stack of Bones. Use this item to open and unpack it.
resourceBrokenGlassBundleKyDesc,This is a compact stack of Broken Glass. Use this item to open and unpack it.
resourceBuckshotBundleKyDesc,This is a compact stack of Buckshot. Use this item to open and unpack it.
resourceBulletCasingBundleKyDesc,This is a compact stack of Bullet Casings. Use this item to open and unpack it.
resourceBulletTipBundleKyDesc,This is a compact stack of Bullet Tips. Use this item to open and unpack it.
resourceCementBundleKyDesc,This is a compact stack of Cement. Use this item to open and unpack it.
resourceClothBundleKyDesc,This is a compact stack of Cloth Fragments. Use this item to open and unpack it.
resourceCobblestonesBundleKyDesc,This is a compact stack of Cobblestones. Use this item to open and unpack it.
resourceConcreteMixBundleKyDesc,This is a compact stack of Concrete Mix. Use this item to open and unpack it.
resourceCropAloeLeafBundleKyDesc,This is a compact stack of Aloe Vera Leafs. Use this item to open and unpack it.
resourceCropChrysanthemumPlantBundleKyDesc,This is a compact stack of Chrysanthemum. Use this item to open and unpack it.
resourceCropCoffeeBeansBundleKyDesc,This is a compact stack of Coffee Beans. Use this item to open and unpack it.
resourceCropCottonPlantBundleKyDesc,This is a compact stack of Cotton. Use this item to open and unpack it.
resourceCropGoldenrodPlantBundleKyDesc,This is a compact stack of Goldenrod Flowers. Use this item to open and unpack it.
resourceCropHopsFlowerBundleKyDesc,This is a compact stack of Hops Flowers. Use this item to open and unpack it.
resourceCrushedSandBundleKyDesc,This is a compact stack of Crushed Sand. Use this item to open and unpack it.
resourceDuctTapeBundleKyDesc,This is a compact stack of Duct Tape. Use this item to open and unpack it.
resourceElectricPartsBundleKyDesc,This is a compact stack of Electrical Parts. Use this item to open and unpack it.
resourceFeatherBundleKyDesc,This is a compact stack of Feathers. Use this item to open and unpack it.
resourceForgedIronBundleKyDesc,This is a compact stack of Forged Iron. Use this item to open and unpack it.
resourceForgedSteelBundleKyDesc,This is a compact stack of Forged Steel. Use this item to open and unpack it.
resourceGlueBundleKyDesc,This is a compact stack of Glue. Use this item to open and unpack it.
resourceGoldNuggetBundleKyDesc,This is a compact stack of Gold Nuggets. Use this item to open and unpack it.
resourceGunPowderBundleKyDesc,This is a compact stack of Gunpowder. Use this item to open and unpack it.
resourceHeadlightBundleKyDesc,This is a compact stack of Headlights. Use this item to open and unpack it.
resourceLeatherBundleKyDesc,This is a compact stack of Leather. Use this item to open and unpack it.
resourceLegendaryPartsBundleKyDesc,This is a compact stack of Legendary Parts. Use this item to open and unpack it.
resourceLockPickBundleKyDesc,This is a compact stack of Lockpicks. Use this item to open and unpack it.
resourceMechanicalPartsBundleKyDesc,This is a compact stack of Mechanical Parts. Use this item to open and unpack it.
resourceMetalPipeBundleKyDesc,This is a compact stack of Short Iron Pipes. Use this item to open and unpack it.
resourceNailBundleKyDesc,This is a compact stack of Nails. Use this item to open and unpack it.
resourceOilBundleKyDesc,This is a compact stack of Oil. Use this item to open and unpack it.
resourcePaintBundleKyDesc,This is a compact stack of Paint. Use this item to open and unpack it.
resourcePaperBundleKyDesc,This is a compact stack of Paper. Use this item to open and unpack it.
resourceRawDiamondBundleKyDesc,This is a compact stack of Raw Diamonds. Use this item to open and unpack it.
resourceRepairKitBundleKyDesc,This is a compact stack of Repair Kits. Use this item to open and unpack it.
resourceRocketCasingBundleKyDesc,This is a compact stack of Rocket Casings. Use this item to open and unpack it.
resourceRocketTipBundleKyDesc,This is a compact stack of Rocket Tips. Use this item to open and unpack it.
resourceScopeLensBundleKyDesc,This is a compact stack of Scope Lens. Use this item to open and unpack it.
resourceScrapBrassBundleKyDesc,This is a compact stack of Brass. Use this item to open and unpack it.
resourceSewingKitBundleKyDesc,This is a compact stack of Sewing kits. Use this item to open and unpack it.
resourceSilverNuggetBundleKyDesc,This is a compact stack of Silver Nuggets. Use this item to open and unpack it.
resourceSnowBallBundleKyDesc,This is a compact stack of Snow Balls. Use this item to open and unpack it.
resourceSpringBundleKyDesc,This is a compact stack of Spings. Use this item to open and unpack it.
resourceTestosteroneExtractBundleKyDesc,This is a compact stack of Testosterone Extract. Use this item to open and unpack it.
resourceYuccaFibersBundleKyDesc,This is a compact stack of Plant Fibers. Use this item to open and unpack it.
resourceDynamiteBundleKyDesc,This is a compact stack of Dynamite. Use this item to open and unpack it.
resourceGrenadeBundleKyDesc,This is a compact stack of Grenades. Use this item to open and unpack it.
resourceGrenadeContactBundleKyDesc,This is a compact stack of Contact Grenades. Use this item to open and unpack it.
resourceAmmoMolotovCocktailBundleKyDesc,This is a compact stack of Molotov Cocktail. Use this item to open and unpack it.
resourceAmmoPipeBombBundleKyDesc,This is a compact stack of Pipe Bombs. Use this item to open and unpack it.
resourceTimedChargeBundleKyDesc,This is a compact stack of Timed Charges. Use this item to open and unpack it.
resourceBeakerBundleKyDesc,This is a compact stack of Beakers. Use this item to open and unpack it.
resourceCookingGrillBundleKyDesc,This is a compact stack of Cooking Grills. Use this item to open and unpack it.
resourceCookingPotBundleKyDesc,This is a compact stack of Cooking Pots. Use this item to open and unpack it.
resourcePlantedMountainPine1mBundleKyDesc,This is a compact stack of Pine Seeds. Use this item to open and unpack it.
resourcePlantedOak1mBundleKyDesc,This is a compact stack of Oak Seeds. Use this item to open and unpack it.
resourcePlantedWinterPine1mBundleKyDesc,This is a compact stack of Blue Spruce Seeds. Use this item to open and unpack it.
resourceBicycleChassisBundleKyDesc,This is a compact stack of Bicycle Chassis. Use this item to open and unpack it.
resourceBicycleHandlebarsBundleKyDesc,This is a compact stack of Bicycle Handlebars. Use this item to open and unpack it.
resourceGyroCopterAccessoriesBundleKyDesc,This is a compact stack of Gyrocopter Accessories. Use this item to open and unpack it.
resourceGyroCopterChassisBundleKyDesc,This is a compact stack of Gyrocopter Chassis. Use this item to open and unpack it.
resourceMinibikeChassisBundleKyDesc,This is a compact stack of Minibike Chassis. Use this item to open and unpack it.
resourceMinibikeHandlebarsBundleKyDesc,This is a compact stack of Minibike Handlebars. Use this item to open and unpack it.
resourceMotorcycleChassisBundleKyDesc,This is a compact stack of Motorcycle Chassis. Use this item to open and unpack it.
resourceMotorcycleHandlebarsBundleKyDesc,This is a compact stack of Motorcycle Handlebars. Use this item to open and unpack it.
resourceTruck4x4AccessoriesBundleKyDesc,This is a compact stack of 4x4 Truck Accessories. Use this item to open and unpack it.
resourceTruck4x4ChassisBundleKyDesc,This is a compact stack of 4x4 Truck Chassis. Use this item to open and unpack it.
resourceWheelsBundleKyDesc,This is a compact stack of Wheels. Use this item to open and unpack it.
resourceScrapPolymersBundleKyDesc,This is a compact stack of Scrap Polymers. Use this item to open and unpack it.
resourceRadiatorBundleKyDesc,This is a compact stack of Radiators. Use this item to open and unpack it.
resourcecasinoCoinBundleKyDesc,This is a compact stack of Duke's Casino Tokens. Use this item to open and unpack it.
